Region,Race/Ethnicity,Total Count,Percent of Total,% Bail Set or Remanded,% ROR,% NMR,% Made Bail,% Assigned Counsel
Bronx,All,708,100.00%,35.88%,41.53%,10.73%,13.98%,84.04%
Bronx,Black,513,72.46%,35.67%,39.18%,12.28%,12.87%,87.13%
Bronx,White/Non-hispanic,17,2.40%,41.18%,52.94%,0.00%,29.41%,52.94%
NYC,All,2039,100.00%,51.20%,35.70%,8.44%,18.24%,75.67%
NYC,Black,1646,80.73%,51.58%,35.84%,8.08%,18.41%,78.43%
NYC,White/Non-hispanic,91,4.46%,48.35%,36.26%,8.79%,18.68%,60.44%
NYS,All,3947,100.00%,50.06%,33.04%,11.05%,15.63%,75.35%
NYS,Black,2955,74.87%,51.03%,32.22%,10.86%,15.97%,79.36%
NYS,White/Non-hispanic,281,7.12%,43.77%,38.79%,12.10%,13.88%,51.96%
